Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
5289,52.890009,-0.162077665,-0.0615174957,9.98478222,-0.184416518,-0.0502954125,9.93214607,0.0202400237,0.0170442313,-0.00319579337,0.0214346945,0.0164717697,-0.00403621839
5290,52.900007,-0.171608061,-0.0644657835,9.96766186,-0.174836427,-0.059875492,9.96807194,0.0202400237,0.0149137024,-0.00426105782,0.0214685574,0.0164304338,-0.00445449352
5291,52.910010,-0.168178648,-0.0657487139,9.97064495,-0.16765137,-0.0502954125,9.99920654,0.023435818,0.0159789659,-0.00426105782,0.0211223252,0.0162277501,-0.00461149495
5292,52.920086,-0.161121532,-0.064759925,9.98207855,-0.138911143,-0.0718505904,9.93933105,0.0213052891,0.0181094967,-0.00426105782,0.0218159985,0.0166004654,-0.00475620897
5293,52.929985,-0.160947233,-0.070303902,9.98885918,-0.165256351,-0.0407153331,9.96567631,0.0223705545,0.0191747602,-0.00426105782,0.0215872545,0.0168911181,-0.00525754131
5294,52.940009,-0.158551916,-0.0688162744,9.9682188,-0.136516124,-0.0574804693,10.0039968,0.0202400237,0.0181094967,-0.00532632228,0.0219841059,0.0170569662,-0.00475268159
5295,52.950001,-0.156528026,-0.0651436672,9.97633743,-0.148491219,-0.0479003936,9.94651699,0.0213052891,0.0181094967,-0.00639158674,0.0222826153,0.0169371441,-0.00482956227
5296,52.960009,-0.161952555,-0.0609823577,9.98140526,-0.177231446,-0.0191601571,10.0039968,0.023435818,0.0170442313,-0.00532632228,0.0222774055,0.0174737927,-0.00535869692
5297,52.970002,-0.157171115,-0.0650192276,9.98762798,-0.124541022,-0.0646655336,9.9297514,0.0245010816,0.0159789659,-0.00745685119,0.0225653537,0.0169850942,-0.00494691636
5298,52.979982,-0.155923754,-0.0554903857,9.98336029,-0.155676275,-0.0574804693,10.0135775,0.0213052891,0.0159789659,-0.00213052891,0.0221546479,0.0164914075,-0.00430028373
5299,52.990009,-0.15971978,-0.0605231524,9.99035549,-0.155676275,-0.0311352555,10.0183668,0.0223705545,0.0138484379,-0.00532632228,0.021469323,0.015711233,-0.00364583172
5300,53.000002,-0.160958394,-0.0609861054,9.97518158,-0.172441408,-0.0670605525,9.97286129,0.0213052891,0.0170442313,-0.00213052891,0.0216420759,0.0159674939,-0.00302370498
5301,53.010009,-0.163644597,-0.0647253767,9.96645641,-0.177231446,-0.0670605525,9.9297514,0.0245010816,0.0149137024,-0.00213052891,0.0229847506,0.0163520258,-0.00285259425
5302,53.020009,-0.162337452,-0.0630492792,9.96120358,-0.184416518,-0.0766406283,9.98004723,0.0213052891,0.0159789659,-0.00639158674,0.0226927307,0.0160411429,-0.00396115519
5303,53.029988,-0.15955317,-0.0614780337,9.96028328,-0.177231446,-0.0670605525,9.93933105,0.0191747602,0.0159789659,-0.00426105782,0.0221644342,0.0156103093,-0.00424891897
5304,53.040002,-0.161027282,-0.0682331845,9.97237778,-0.160466313,-0.0622705109,9.99202156,0.0223705545,0.0159789659,-0.00319579337,0.0219453443,0.0158347413,-0.00352137
5305,53.050005,-0.154889494,-0.0704973117,9.96944427,-0.158071294,-0.0694555715,9.93693638,0.0245010816,0.0170442313,-0.00319579337,0.0228171423,0.0167149846,-0.00307896407
5306,53.060003,-0.152348027,-0.0637414083,9.97961712,-0.148491219,-0.0191601571,10.0231571,0.023435818,0.0181094967,-0.00319579337,0.0225335676,0.0162893273,-0.00410845829
5307,53.069983,-0.150185034,-0.0611124113,9.97249603,-0.124541022,-0.0934057683,9.93214607,0.0202400237,0.0181094967,-0.00319579337,0.0223858152,0.0170398615,-0.00426284363
5308,53.080007,-0.147587553,-0.0642426014,9.96529388,-0.138911143,-0.0838256851,9.91059113,0.023435818,0.0170442313,-0.00319579337,0.0224347375,0.0167983212,-0.0044908924
5309,53.090000,-0.160185009,-0.075708732,9.96869278,-0.162861332,-0.0526904315,9.98723221,0.0223705545,0.0159789659,-0.00319579337,0.0224819854,0.0170720983,-0.00374286901
5310,53.100006,-0.156577885,-0.0683536455,9.97344494,-0.20118165,-0.0670605525,10.0183668,0.0213052891,0.0181094967,-0.00213052891,0.0218858235,0.0167492591,-0.0039981571
5311,53.110018,-0.156947389,-0.0754998848,9.99558449,-0.20118165,-0.0335302763,10.0495024,0.0213052891,0.0170442313,-0.00426105782,0.0216557849,0.0164166763,-0.00437115366
5312,53.120005,-0.160861626,-0.0610070415,9.9939394,-0.16765137,-0.0455053747,10.0423174,0.023435818,0.0170442313,-0.00426105782,0.0218050238,0.016415054,-0.00407473324
5313,53.130002,-0.159752741,-0.0636644587,10.0024462,-0.162861332,-0.0526904315,9.88424587,0.023435818,0.0159789659,-0.00426105782,0.0223690011,0.0162738785,-0.00424494548
5314,53.140001,-0.164031774,-0.0696259066,9.99202156,-0.150886238,-0.086220704,9.94172668,0.0223705545,0.0181094967,-0.00426105782,0.0233694352,0.0161590222,-0.00417248625
5315,53.150002,-0.164267331,-0.0674090534,9.98570633,-0.153281257,-0.0742456093,9.96567631,0.0223705545,0.0170442313,-0.00426105782,0.0230610501,0.0172117762,-0.00458542863
5316,53.159982,-0.161165252,-0.066486463,9.97805023,-0.165256351,-0.0479003936,9.9297514,0.023435818,0.0181094967,-0.00532632228,0.0230240859,0.0174376462,-0.00452690525
5317,53.170000,-0.165683091,-0.0686180443,9.98134327,-0.174836427,-0.0550854504,9.95849133,0.0191747602,0.0181094967,-0.00319579337,0.0220366083,0.0174099654,-0.00488342112
